ID_ARTICOLO,FRASI,FRASI_SOG,FRASI_OGG,FONTE,TAG_ARTICOLO
0.0,19.0,3.0,16.0,Il Fatto Quotidiano,OGG
1.0,15.0,2.0,13.0,Il Fatto Quotidiano,OGG
2.0,11.0,6.0,5.0,Libero,SOG
3.0,18.0,9.0,9.0,Libero,SOG
4.0,13.0,4.0,9.0,Contropiano,OGG
5.0,10.0,1.0,9.0,Contropiano,OGG
6.0,21.0,8.0,13.0,Il Giornale,SOG
7.0,15.0,11.0,4.0,Espresso,SOG
8.0,23.0,6.0,17.0,Libero,SOG
9.0,24.0,1.0,23.0,Repubblica,OGG
10.0,3.0,0.0,3.0,Repubblica,OGG
11.0,13.0,5.0,8.0,Repubblica,OGG
12.0,11.0,2.0,9.0,Repubblica,OGG
13.0,23.0,10.0,13.0,Repubblica,SOG
14.0,6.0,0.0,6.0,Repubblica,OGG
15.0,26.0,10.0,16.0,Libero,OGG
16.0,22.0,9.0,12.0,Libero,OGG
17.0,24.0,12.0,12.0,Libero,SOG
18.0,22.0,8.0,13.0,Libero,OGG
19.0,21.0,8.0,13.0,Libero,OGG
20.0,24.0,12.0,12.0,Libero,OGG
21.0,30.0,17.0,10.0,Libero,SOG
22.0,28.0,7.0,19.0,Corriere,SOG
23.0,23.0,5.0,15.0,Corriere,OGG
24.0,16.0,1.0,15.0,Corriere,OGG
25.0,17.0,4.0,13.0,Corriere,SOG
26.0,29.0,15.0,14.0,Corriere,OGG
27.0,32.0,5.0,27.0,Beppe Grillo,OGG
28.0,33.0,9.0,23.0,Beppe Grillo,OGG
29.0,38.0,25.0,13.0,Beppe Grillo,SOG
30.0,39.0,18.0,21.0,Beppe Grillo,SOG
31.0,21.0,3.0,18.0,Beppe Grillo,OGG
32.0,23.0,11.0,12.0,Beppe Grillo,SOG
33.0,21.0,10.0,11.0,Libero,SOG
34.0,21.0,10.0,11.0,Libero,SOG
35.0,19.0,5.0,14.0,Libero,SOG
36.0,13.0,4.0,9.0,Libero,OGG
37.0,21.0,2.0,19.0,Repubblica,OGG
38.0,16.0,10.0,6.0,Repubblica,OGG
39.0,16.0,3.0,13.0,Repubblica,OGG
40.0,26.0,6.0,20.0,Repubblica,SOG
41.0,15.0,3.0,12.0,Repubblica,OGG
42.0,8.0,0.0,8.0,Repubblica,OGG
43.0,22.0,9.0,13.0,Repubblica,SOG
44.0,10.0,2.0,8.0,Il Fatto,OGG
45.0,10.0,2.0,8.0,Il Fatto,OGG
46.0,8.0,0.0,8.0,Il Fatto,OGG
47.0,13.0,3.0,10.0,Il Fatto,OGG
48.0,10.0,0.0,10.0,Il Fatto,OGG
49.0,13.0,2.0,11.0,Il Fatto,OGG
50.0,6.0,1.0,5.0,Il Fatto,OGG
51.0,9.0,0.0,9.0,Il Fatto,OGG
52.0,8.0,0.0,8.0,Esse notizie,OGG
53.0,6.0,2.0,4.0,Esse notizie,SOG
54.0,11.0,5.0,6.0,Esse notizie,OGG
55.0,9.0,0.0,9.0,Esse notizie,OGG
56.0,7.0,1.0,6.0,Esse notizie,SOG
57.0,14.0,4.0,10.0,Esse notizie,OGG
58.0,5.0,3.0,2.0,Esse notizie,SOG
59.0,31.0,8.0,23.0,ilpost,SOG
60.0,7.0,0.0,7.0,ilpost,OGG
61.0,12.0,1.0,11.0,ilpost,OGG
62.0,7.0,0.0,7.0,ilpost,OGG
63.0,7.0,0.0,7.0,ilpost,OGG
64.0,11.0,1.0,10.0,ilpost,OGG
65.0,36.0,8.0,28.0,ilpost,OGG
66.0,6.0,0.0,6.0,ilpost,OGG
67.0,16.0,5.0,11.0,ilpost,SOG
68.0,19.0,2.0,17.0,Il Foglio,OGG
69.0,16.0,4.0,12.0,Il Foglio,SOG
70.0,18.0,4.0,14.0,Il Foglio,SOG
71.0,22.0,6.0,16.0,Il Foglio,SOG
72.0,19.0,7.0,12.0,Il Foglio,SOG
73.0,25.0,10.0,15.0,Il Foglio,SOG
